2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|09:00:00|standing desk|Ikea|-299.99
2023-04-16|14:30:45|website hosting|Bluehost|-12.99
2023-04-17|08:45:10|client payment|Acme Corp|2000.00
2023-04-17|16:22:50|business lunch|Chipotle|-24.75
2023-04-18|12:10:05|monthly subscription|Spotify|-9.99
2023-04-18|18:05:30|laptop repair|Best Buy|-150.00
2023-04-19|07:50:15|Invoice 1002 paid|Jane|750.00
2023-04-19|15:40:00|office supplies|Staples|-45.20
